metric,mean,std,min,max
test_accuracy,0.66404,0.016305500094548894,0.6404,0.6854
test_precision,0.67249,0.014119132016129368,0.6425,0.6866
test_recall,0.66886,0.017165546889044918,0.6417,0.6927
test_f1_score,0.6687599999999999,0.015310359600973156,0.6438,0.6879
test_roc_auc,0.8386199999999999,0.00970163789149943,0.8226,0.8559
train_time,45796.685,4446.137275916527,36344.3,51864.92
test_time,359.15700000000004,0.718718767437356,358.36,360.44
total_time,46155.839,4446.286631419899,36702.73,52224.27
