metric,mean,std,min,max
test_accuracy,0.8067499999999999,0.023545240141763984,0.7753,0.8539
test_precision,0.8119900000000001,0.02213947956830864,0.7799,0.8586
test_recall,0.80917,0.024590470150491664,0.7756,0.8573
test_f1_score,0.80799,0.02282262279211379,0.7787,0.855
test_roc_auc,0.9386800000000001,0.015949280722200462,0.9129,0.9639
train_time,98924.772,13310.43560637275,82332.79,119264.55
test_time,388.06100000000004,30.251400500178868,345.64,453.0
total_time,99312.83499999999,13325.122833386107,82703.77,119678.16
