image_id,image_path,category_id,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9
2307,datasets/oral1/DSC_2315.JPG,2,4.976499794639816,1.7400450415167548,1.4763087618093058,0.21145278096434017,0.4817212494827529,0.04135575890998157,0.038252595682744694,0.002607953833717609,0.9984379769258767,0.0005463990842264966,0.0014700624996663405,0.0002056852514738776,0.037695708333333335,0.084685625,0.030142625,0.09755854166666666,0.07267275,0.13432620833333334,0.10337758333333333,0.095430625,0.17663620833333332,0.167474125
2308,datasets/oral1/Immagine 095.jpg,2,4.164789006292824,2.534288311736952,0.9042871430557473,0.27385349752292865,0.6634927498279888,0.0714673754855752,0.05915173122370201,0.006968309461593652,0.9980413453780809,0.0011926060204386424,0.003547484643513616,0.0008387416813610472,0.00571544636707989,0.030917921670540634,0.0033312080320247934,0.11969599447959711,0.060330813909693526,0.23989927013386708,0.04297530749612603,0.11652183007274448,0.3336378365508781,0.046974371287448344
2309,datasets/oral1/Immagine 223.jpg,2,19.590776624730164,12.14358582176107,1.4558094197822748,0.4603148923507849,0.5884538967597842,0.07883048012450881,0.05005417297812648,0.006526532975305303,0.9948889277915182,0.0031683288370488484,0.0025480158652019537,0.0006636798301241131,0.006935645069300964,0.03418439544593664,0.007222997912362259,0.13333760411286158,0.10036886756413567,0.24630964294938015,0.06035317665289256,0.1086602329222624,0.24920351643207644,0.05342392093879132
2310,datasets/oral1/003.JPG,2,16.710147198872658,11.148976791673293,1.5313833420709786,0.5157274269020024,0.5956313301222006,0.07831651035030895,0.05196956692285908,0.006928440310538904,0.9911878169295164,0.005878990180523177,0.002748839171286228,0.0007303935820225463,0.004542495265151515,0.02739335157326102,0.00646165579803719,0.1345196348248106,0.10385577409392217,0.24249788814996556,0.04986353682420799,0.10229223162017906,0.28793074342501723,0.04064268842544766
2311,datasets/oral1/DSC_2312.JPG,2,7.787009927820814,3.7781206446971463,1.3587966726217726,0.21321774150651998,0.5210892191819628,0.04200879053362083,0.03812751779327108,0.0025720371942119817,0.9979086884771727,0.0010147628450597468,0.0014603229884046127,0.00020203109622909173,0.03331954166666667,0.08104179166666667,0.023615166666666666,0.09711125,0.06616241666666667,0.14270658333333333,0.09701016666666666,0.09527191666666666,0.20169858333333332,0.16206258333333334
2312,datasets/oral1/DSCN7097.jpg,2,8.37584560616599,4.801318747439865,1.4555518237568439,0.4075397515612211,0.5410642808971949,0.0704643913282854,0.045620633471452815,0.0044107922980519704,0.9986306673088543,0.0007851325112177405,0.002100697287033196,0.00041004521535174614,0.01205503185261708,0.046024206912878785,0.01370634388989325,0.12830581875215222,0.11611812370867769,0.21965342119705578,0.07781948793689739,0.09473934121039945,0.21276821840564739,0.07881000613378099
2313,datasets/oral1/DSCN2549.jpg,2,5.543126898886005,2.7794501283243864,1.367555753452714,0.35398357709890993,0.5262080135872463,0.0717239570209252,0.04052220381992078,0.004409651771557625,0.9985067831988023,0.0007495181468883437,0.0016614940311696035,0.00036519160157695547,0.013952838487861571,0.051525441739841596,0.016049219557076447,0.12864176432291666,0.1119561313597624,0.21699259103822313,0.08591883635717976,0.09312619716339532,0.1942982739325069,0.08753870604123623
2314,datasets/oral1/Immagine 173.jpg,2,6.117420531538248,3.6730855308565538,0.9992480558919854,0.29976601857369206,0.6338770038205035,0.0773362628562555,0.06203518244351156,0.007796562203808368,0.9926377491330253,0.004421743817938171,0.0039091502429976195,0.000982619467236141,0.006361275665030992,0.03476683561466942,0.00493224593233471,0.12893601094395662,0.06977747557248623,0.2417146877152204,0.05372237108298898,0.11472793452995868,0.29344677465349517,0.051614388289858815
2316,datasets/oral1/DSCN2410.jpg,2,9.679090012702126,5.965516198986987,1.2135252767481386,0.3570762806061676,0.5969857680673515,0.07531256507044475,0.0459467229743031,0.005572198071699559,0.9968646951852462,0.0019341356038003962,0.0021421507434276044,0.0005213320011065598,0.008256055763601928,0.03955397592759986,0.007785261169938017,0.13088207402505164,0.08782303234762397,0.2352824565792872,0.06413651563576102,0.10925208898286845,0.2536595872611054,0.06336895230716254
2317,datasets/oral1/DSCN2028.JPG,2,4.866725801186437,2.7438507017099294,1.3103753562857736,0.38140117808107626,0.5518186739308805,0.07793783087829664,0.04305573678691266,0.005317511383888289,0.9990978858084353,0.0005086311268385493,0.001882072397581686,0.00046646559034437793,0.01136620839436849,0.04059314727783203,0.011984507242838541,0.11479028065999348,0.10380172729492188,0.2515217463175456,0.0798810323079427,0.0854495366414388,0.2275867462158203,0.07302506764729817
2318,datasets/oral1/DSC_3287.JPG,2,11.762732806126403,5.543459527676025,1.999792595782916,0.37705439349180614,0.4253004572135359,0.042377832755959695,0.04241604903088325,0.0031064674853553244,0.9923824750083218,0.0035916069590341926,0.0018087713556278612,0.000266683667549731,0.05615209441489362,0.07419365026595745,0.03539577792553192,0.09289411569148937,0.09263181515957447,0.1174330119680851,0.08394930186170213,0.0989579454787234,0.15174817154255318,0.19664411569148937
2319,datasets/oral1/Immagine 225.jpg,2,5.981275458813296,3.551424226351795,1.1514911541873516,0.3538753307182809,0.5911064522277544,0.08188098149220273,0.04676158020078958,0.006193212269776203,0.9970106567431558,0.0017754389155878753,0.0022250012610933833,0.0005879902190815197,0.006880494845471763,0.035071843254993115,0.006831565835915978,0.13525626022296833,0.09780101933755166,0.24918468464832988,0.06270748590306474,0.10891328501635675,0.2430598151256887,0.05429354580965909
2321,datasets/oral1/DSC_8917.JPG,2,13.50656285564173,3.878786880494639,2.5735975001710383,0.3455917852055248,0.3401525430143076,0.03333964389091125,0.028732940997526824,0.001874888161728687,0.9946063834006331,0.0015492897684261544,0.0008290971039863483,0.00011004194712643243,0.06290696614583334,0.07810286458333333,0.0573455078125,0.09553111979166666,0.09251223958333334,0.11663626302083334,0.10280071614583333,0.09614596354166667,0.12267272135416667,0.17534563802083333
